Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2/12/2009,1.830554936,1.922427228,1.805290141,1.910943151,102402000,0,0
2/13/2009,1.86730434,1.931614883,1.8535234,1.908646941,76430400,0,0
2/17/2009,1.837445907,1.881085151,1.791509803,1.798400164,77957600,0,0
2/18/2009,1.79840023,1.906350243,1.79610348,1.846633196,64625200,0,0
2/19/2009,1.883382063,1.899459864,1.704231143,1.704231143,74398800,0,0
2/20/2009,1.681262925,1.775431986,1.665185235,1.747870326,77005600,0,0
2/23/2009,1.777728782,1.786916112,1.655998057,1.667482138,67954800,0,0
2/24/2009,1.676669215,1.819071228,1.674372355,1.816774368,65952400,0,0
2/25/2009,1.812180709,1.892568933,1.750166924,1.837445617,70236000,0,0
2/26/2009,1.901756774,1.961473828,1.874195107,1.897163272,111755600,0,0
2/27/2009,1.848930174,1.945396112,1.835149232,1.901756644,75544400,0,0
3/2/2009,1.855820402,1.894866146,1.734089668,1.740980029,70006400,0,0
3/3/2009,1.773135082,1.87878833,1.715714903,1.809884071,104137200,0,0
3/4/2009,1.85811672,1.998221855,1.842039143,1.943098545,110866800,0,0
3/5/2009,1.915537717,1.993629216,1.88797605,1.897163272,95525200,0,0
3/6/2009,1.897162981,1.995925551,1.871897959,1.927021503,97475600,0,0
3/9/2009,1.913240257,2.057939128,1.901756178,1.906349897,68276800,0,0
3/10/2009,1.975253694,2.115358813,1.956879259,2.078609943,125480000,0,0
3/11/2009,2.078610496,2.721716536,2.044158257,2.136030674,86491600,0,0
3/12/2009,2.129140743,2.285323511,2.101578859,2.262355566,160460400,0,0
3/13/2009,2.230199408,2.28302586,2.193450535,2.250870705,119515600,0,0
3/16/2009,2.273839226,2.276136086,2.145218135,2.163592577,69934400,0,0
3/17/2009,2.170482675,2.276135811,2.142921016,2.271542311,100538400,0,0
3/18/2009,2.237090025,2.409350554,2.234793165,2.342743158,135956000,0,0
3/19/2009,2.358821193,2.358821193,2.299104151,2.315181732,82264800,0,0
3/20/2009,2.349633274,2.351930133,2.129140029,2.18885684,109367200,0,0
3/23/2009,2.257761448,2.351930508,2.207231629,2.347337008,81604800,0,0
3/24/2009,2.289917277,2.310588581,2.234793727,2.246277809,111486800,0,0
